# start_x start_y start_z goal_x goal_y goal_z delay start_time
4 0 4 4 2 0 5 0
4 0 4 5 4 0 5 2
4 0 4 6 0 0 5 4
4 0 4 7 3 0 5 6
4 0 4 3 4 0 5 8
4 0 4 7 5 0 5 10
4 0 4 3 3 0 5 12
4 0 4 1 6 0 5 14
4 0 4 4 3 0 5 16
4 0 4 2 5 0 5 18
4 0 4 4 5 0 5 20
4 0 4 0 4 0 5 22
4 0 4 5 3 0 5 24
4 0 4 6 4 0 5 26
4 0 4 1 1 0 5 28
4 0 4 5 2 0 5 30
4 0 4 3 5 0 5 32
4 0 4 5 0 0 5 34
4 0 4 2 3 0 5 36
4 0 4 1 0 0 5 38
4 0 4 6 2 0 5 40
4 0 4 7 0 0 5 42
4 0 4 6 5 0 5 44
4 0 4 2 1 0 5 46
4 0 4 6 1 0 5 48
4 0 4 4 1 0 5 50
4 0 4 4 4 0 5 52
4 0 4 3 0 0 5 54
4 0 4 0 1 0 5 56
4 0 4 1 4 0 5 58
4 0 4 1 3 0 5 60
4 0 4 7 2 0 5 62
4 0 4 0 5 0 5 64
4 0 4 5 5 0 5 66
4 0 4 0 3 0 5 68
4 0 4 4 0 0 5 70
4 0 4 0 6 0 5 72
4 0 4 7 1 0 5 74
4 0 4 2 4 0 5 76
4 0 4 7 4 0 5 78
4 0 4 3 2 0 5 80
4 0 4 5 1 0 5 82
4 0 4 2 2 0 5 84
4 0 4 1 5 0 5 86
4 0 4 6 3 0 5 88
4 0 4 3 1 0 5 90
4 0 4 0 2 0 5 92
4 0 4 0 0 0 5 94
4 0 4 2 0 0 5 96
4 0 4 1 2 0 5 98
7 1 0 4 7 4 0 0
0 6 0 4 7 4 0 0
2 4 0 4 7 4 0 0
4 2 0 4 7 4 0 0
2 3 0 4 7 4 0 0
5 1 0 4 7 4 0 0
0 4 0 4 7 4 0 0
7 0 0 4 7 4 0 0
2 1 0 4 7 4 0 0
5 2 0 4 7 4 0 0
4 0 0 4 7 4 0 0
6 3 0 4 7 4 0 0
1 0 0 4 7 4 0 0
5 3 0 4 7 4 0 0
4 3 0 4 7 4 0 0
3 3 0 4 7 4 0 0
2 2 0 4 7 4 0 0
7 3 0 4 7 4 0 0
2 5 0 4 7 4 0 0
7 4 0 4 7 4 0 0
0 5 0 4 7 4 0 0
1 5 0 4 7 4 0 0
2 0 0 4 7 4 0 0
4 1 0 4 7 4 0 0
0 1 0 4 7 4 0 0
4 4 0 4 7 4 0 0
1 3 0 4 7 4 0 0
7 5 0 4 7 4 0 0
1 2 0 4 7 4 0 0
1 1 0 4 7 4 0 0
3 1 0 4 7 4 0 0
6 4 0 4 7 4 0 0
3 5 0 4 7 4 0 0
5 5 0 4 7 4 0 0
5 4 0 4 7 4 0 0
6 0 0 4 7 4 0 0
3 4 0 4 7 4 0 0
0 3 0 4 7 4 0 0
3 2 0 4 7 4 0 0
7 2 0 4 7 4 0 0
6 2 0 4 7 4 0 0
6 5 0 4 7 4 0 0
5 0 0 4 7 4 0 0
1 6 0 4 7 4 0 0
0 2 0 4 7 4 0 0
6 1 0 4 7 4 0 0
3 0 0 4 7 4 0 0
0 0 0 4 7 4 0 0
4 5 0 4 7 4 0 0
1 4 0 4 7 4 0 0
